Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ARSA	gene	ARSA	South West GLH;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Metachromatic leukodystrophy, 250100	607574						3		1.58			ENSG00000100299	ENSG00000100299	HGNC:713													
ATM	gene	ATM	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Dystonia;Ataxia telangiectasia, 208900	607585						3		1.58			ENSG00000149311	ENSG00000149311	HGNC:795													
ATP13A2	gene	ATP13A2	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Kufor-Rakeb syndrome 606693;Parkinson disease;Dystonia	610513			21060012			3		1.58			ENSG00000159363	ENSG00000159363	HGNC:30213													
ATP1A2	gene	ATP1A2	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	familial basilar migraine 602481;familial hemiplegic migraine type 2, 602481;alternating hemiplegia of childhood 104290;Dystonia;migraine	182340			18056581;12953268;12539047			3		1.58			ENSG00000018625	ENSG00000018625	HGNC:800													
ATP1A3	gene	ATP1A3	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	DYSTONIA 12, 128235;Rapid-Onset Dystonia-Parkinsonism;Dystonia-12, 128235;ALTERNATING HEMIPLEGIA OF CHILDHOOD 2, 614820	182350			22850527;22842232;20301334			3		1.58			ENSG00000105409	ENSG00000105409	HGNC:801													
ATP7B	gene	ATP7B	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Wilson disease 277900;Dystonia	606882			20301685			3		1.58			ENSG00000123191	ENSG00000123191	HGNC:870													
BCAP31	gene	BCAP31	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			X-LINKED: hemizygous mutation in males, biallelic mutations in females	DEAFNESS, DYSTONIA, AND CENTRAL HYPOMYELINATION WITH DISORGANIZATION OF THE GOLGI APPARATUS;Deafness, dystonia and cerebellar hypomyelination, 300475	300398			28332767;24011989			3		1.58			ENSG00000185825	ENSG00000185825	HGNC:16695													
BCS1L	gene	BCS1L	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Leigh syndrome, 256000;Bjornstad syndrome, 262000;Mitochondrial complex III deficiency, nuclear type 1, 124000	603647						3		1.58			ENSG00000074582	ENSG00000074582	HGNC:1020													
C19orf12	gene	C19orf12	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	neurodegeneration with brain iron accumulation-4, 614298;mitochondrial membrane protein-associated neurodegeneration;Dystonia	614297						3		1.58			ENSG00000131943	ENSG00000131943	HGNC:25443													
C9orf72	gene	C9orf72	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1 105550	614260						3		1.58			ENSG00000147894	ENSG00000147894	HGNC:28337													
CACNA1A	gene	CACNA1A	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	familial hemiplegic migraine type 1, 141500;Dystonia;episodic ataxia type 2 (EA2), 108500	601011			21734179;17575281			3		1.58			ENSG00000141837	ENSG00000141837	HGNC:1388													
CACNA1G	gene	CACNA1G	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits 618087;Spinocerebellar ataxia 42 616795	604065						3		1.58			ENSG00000006283	ENSG00000006283	HGNC:1394													
CACNB4	gene	CACNB4	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 9;EPISODIC ATAXIA, TYPE 5	601949			10762541			3		1.58			ENSG00000182389	ENSG00000182389	HGNC:1404													
CLN3	gene	CLN3	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Ceroid lipofuscinosis, neuronal, 3, 204200	607042						3		1.58			ENSG00000188603	ENSG00000188603	HGNC:2074													
CLN5	gene	CLN5	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Ceroid lipofuscinosis, neuronal, 5, 256731	608102						3		1.58			ENSG00000102805	ENSG00000102805	HGNC:2076													
CLPB	gene	CLPB	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, 616271	616254						3		1.58			ENSG00000162129	ENSG00000162129	HGNC:30664													
COASY	gene	COASY	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration with brain iron accumulation 6 615643;COASY protein-associated neurodegeneration	609855			27021474;24360804			3		1.58			ENSG00000068120	ENSG00000068120	HGNC:29932													
COL6A3	gene	COL6A3	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Dystonia 27, 616411	120250						3		1.58			ENSG00000163359	ENSG00000163359	HGNC:2213													
COX10	gene	COX10	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, 220110;Leigh syndrome due to mitochondrial COX4 deficiency, 256000	602125			10767350			3		1.58			ENSG00000006695	ENSG00000006695	HGNC:2260													
COX15	gene	COX15	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2, 615119	603646						3		1.58			ENSG00000014919	ENSG00000014919	HGNC:2263													
CSTB	gene	CSTB	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	microcephaly and severe dyskinesia;Epilepsy, progressive myoclonic 1A, 254800	601145			26843564			3		1.58			ENSG00000160213	ENSG00000160213	HGNC:2482													
DCAF17	gene	DCAF17	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Dystonia;Woodhouse-Sakati syndrome, 241080	612515						3		1.58			ENSG00000115827	ENSG00000115827	HGNC:25784													
DDC	gene	DDC	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Aromatic L-amino acid decarboxylase deficiency, 608643;Dystonia	107930			27830117;27604308;24816252			3		1.58			ENSG00000132437	ENSG00000132437	HGNC:2719													
DLAT	gene	DLAT	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Pyruvate dehydrogenase E2 deficiency 245348;Dystonia	608770			16049940;19891062			3		1.58			ENSG00000150768	ENSG00000150768	HGNC:2896													
DLD	gene	DLD	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Dihydrolipoamide dehydrogenase deficiency, 246900	238331						3		1.58			ENSG00000091140	ENSG00000091140	HGNC:2898													
DNAJC12	gene	DNAJC12	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Hyperphenylalaninemia, mild, non-BH4-deficient, 617384	606060			28132689			3		1.58			ENSG00000108176	ENSG00000108176	HGNC:28908													
ECHS1	gene	ECHS1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency, 616277	602292						3		1.58			ENSG00000127884	ENSG00000127884	HGNC:3151													
FA2H	gene	FA2H	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	fatty acid hydroxylase-associated neurodegeneration;Dystonia;Spastic paraplegia 35, autosomal recessive 612319	611026			19068277			3		1.58			ENSG00000103089	ENSG00000103089	HGNC:21197													
FBXO7	gene	FBXO7	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Parkinson disease 15, autosomal recessive, 260300;juvenile parkinsonism;Dystonia	605648						3		1.58			ENSG00000100225	ENSG00000100225	HGNC:13586													
FOLR1	gene	FOLR1	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration due to cerebral folate transport deficiency, 613068;Folate receptor alpha deficiency	136430			27830117;21937992;19732866;2044715			3		1.58			ENSG00000110195	ENSG00000110195	HGNC:3791													
FOXRED1	gene	FOXRED1	South West GLH;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 19, 618241	613622						3		1.58			ENSG00000110074	ENSG00000110074	HGNC:26927													
FTL	gene	FTL	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neurodegeneration with brain iron accumulation 3 606159	134790						3		1.58			ENSG00000087086	ENSG00000087086	HGNC:3999													
FXN	gene	FXN	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Friedreich ataxia;Friedreich ataxia with retained reflexes, 229300	606829						3		1.58			ENSG00000165060	ENSG00000165060	HGNC:3951													
GBA	gene	GBA	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	"Gaucher disease, perinatal lethal, 608013;Gaucher disease, type I, 230800;Gaucher disease, type II, 230900;Gaucher disease, type III	231000;Gaucher disease, type IIIC, 231005"	606463						3		1.58			ENSG00000177628	ENSG00000177628	HGNC:4177													
GCDH	gene	GCDH	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Dystonia;Glutaricaciduria, type I, 231670	608801			8900227;11174631;8900228;10699052;7795610			3		1.58			ENSG00000105607	ENSG00000105607	HGNC:4189													
GCH1	gene	GCH1	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Dopa-Responsive Dystonia (DRD);Hyperphenylalaninemia, BH4-deficient, B, 233910;Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, 128230;GTP-cyclohydrolase deficiency	600225			3762960;8163996;7730309;10987649;942621;9667588;3822637;7874165;17111153;6734669;1899474;945938;3400489;7869202;10208576;20301334;27830117;12552057;20301681;10732814;12084887;3041760;16908750;11346370;11113234;2296384;15753436			3		1.58			ENSG00000131979	ENSG00000131979	HGNC:4193													
GJC2	gene	GJC2	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 44, autosomal recessive, 613206;Leukodystrophy, hypomyelinating, 2, 608804	608803						3		1.58			ENSG00000198835	ENSG00000198835	HGNC:17494													
GLB1	gene	GLB1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	GM1-gangliosidosis, type III, 230650	611458						3		1.58			ENSG00000170266	ENSG00000170266	HGNC:4298													
GLRA1	gene	GLRA1	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hyperekplexia, hereditary 1, 149400	138491			20301437			3		1.58			ENSG00000145888	ENSG00000145888	HGNC:4326													
GM2A	gene	GM2A	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	GM2-gangliosidosis, AB variant, 272750	613109						3		1.58			ENSG00000196743	ENSG00000196743	HGNC:4367													
GNAL	gene	GNAL	Expert Review Green;PanelApp;South West GLH;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dystonia 25, 615073	139312			25847575;20301334;24151159;23222958;26810727;24535567;27222887;23759320;25382112;24408567;26506956;23449625;24729450;26725140;26365774;27123488;27093447			3		1.58			ENSG00000141404	ENSG00000141404	HGNC:4388													
GNAO1	gene	GNAO1	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neurodevelopmental disorder with involuntary movements, 617493	139311			26060304;27625011;25966631;27068059;28357411			3		1.58			ENSG00000087258	ENSG00000087258	HGNC:4389													
GTPBP2	gene	GTPBP2	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Jaberi-Elahi syndrome, 617988	607434						3		1.58			ENSG00000172432	ENSG00000172432	HGNC:4670													
HCFC1	gene	HCFC1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Mental retardation, X-linked 3 (methylmalonic acidemia and homocysteinemia, cblX type ), 309541	300019						3		1.58			ENSG00000172534	ENSG00000172534	HGNC:4839													
HEXA	gene	HEXA	South West GLH;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Hex A pseudodeficiency, 272800 AR;GM2-gangliosidosis, several forms, 272800;Tay-Sachs disease, 272800	606869						3		1.58			ENSG00000213614	ENSG00000213614	HGNC:4878													
HIBCH	gene	HIBCH	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	3-hydroxyisobutryl-CoA hydrolase deficiency 250620	610690						3		1.58			ENSG00000198130	ENSG00000198130	HGNC:4908													
HPCA	gene	HPCA	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	adolescence-onset segmental dystonia;generalized dystonia with additional neurological features;Dystonia 2, torsion, autosomal recessive, 224500;childhood-onset generalized dystonia	142622			25799108;30145809			3		1.58			ENSG00000121905	ENSG00000121905	HGNC:5144													
HSPD1	gene	HSPD1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic paraplegia 13, autosomal dominant, 605280;Leukodystrophy, hypomyelinating, 4, 612233	118190						3		1.58			ENSG00000144381	ENSG00000144381	HGNC:5261													
HTRA2	gene	HTRA2	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type VIII 617248	606441			27208207;27696117			3		1.58			ENSG00000115317	ENSG00000115317	HGNC:14348													
IFIH1	gene	IFIH1	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Aicardi-Goutieres syndrome 7 615846	606951						3		1.58			ENSG00000115267	ENSG00000115267	HGNC:18873													
KCNA1	gene	KCNA1	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	EPISODIC ATAXIA, TYPE 1;myokymia with periodic ataxia	176260			17575281			3		1.58			ENSG00000111262	ENSG00000111262	HGNC:6218													
KCNMA1	gene	KCNMA1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Cerebellar atrophy, developmental delay, and seizures, 617643;Paroxysmal nonkinesigenic dyskinesia, 3, with or without generalized epilepsy, 609446	600150						3		1.58			ENSG00000156113	ENSG00000156113	HGNC:6284													
KCNQ2	gene	KCNQ2	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Myokymia, 121200;Dystonia	602235						3		1.58			ENSG00000075043	ENSG00000075043	HGNC:6296													
KCTD17	gene	KCTD17	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Dystonia 26, myoclonic	616386						3		1.58			ENSG00000100379	ENSG00000100379	HGNC:25705													
KIF1C	gene	KIF1C	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spastic ataxia 2, autosomal recessive, 611302	603060						3		1.58			ENSG00000129250	ENSG00000129250	HGNC:6317													
KMT2B	gene	KMT2B	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Dystonia 28, childhood-onset 617284;early-onset dystonia	606834			27992417			3		1.58			ENSG00000272333	ENSG00000272333	HGNC:15840													
LRPPRC	gene	LRPPRC	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Leigh syndrome, French-Canadian type, 220111	607544						3		1.58			ENSG00000138095	ENSG00000138095	HGNC:15714													
MARS2	gene	MARS2	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spastic ataxia 3, autosomal recessive, 611390	609728						3		1.58			ENSG00000247626	ENSG00000247626	HGNC:25133													
MECR	gene	MECR	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities 617282	608205			27817865			3		1.58			ENSG00000116353	ENSG00000116353	HGNC:19691													
MRE11	gene	MRE11	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Ataxia-telangiectasia-like disorder 1, 604391	600814						3		1.58			ENSG00000020922	ENSG00000020922	HGNC:7230													
MTFMT	gene	MTFMT	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 15, 614947;Mitochondrial complex I deficiency, nuclear type 27, 618248	611766						3		1.58			ENSG00000103707	ENSG00000103707	HGNC:29666													
NDUFA1	gene	NDUFA1	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Mitochondrial complex I deficiency 252010	300078			28247337;17262856;21596602;27604308;19185523			3		1.58			ENSG00000125356	ENSG00000125356	HGNC:7683													
NDUFA10	gene	NDUFA10	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Leigh syndrome 256000	603835			28247337;21150889;26741492			3		1.58			ENSG00000130414	ENSG00000130414	HGNC:7684													
NDUFAF5	gene	NDUFAF5	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 16, 618238	612360						3		1.58			ENSG00000101247	ENSG00000101247	HGNC:15899													
NDUFAF6	gene	NDUFAF6	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Leigh syndrome due to mitochondrial complex I deficiency 256000	612392			27623250;26741492;18614015			3		1.58			ENSG00000156170	ENSG00000156170	HGNC:28625													
NDUFS1	gene	NDUFS1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 5, 618226	157655						3		1.58			ENSG00000023228	ENSG00000023228	HGNC:7707													
NDUFS4	gene	NDUFS4	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency 252010;Leigh syndrome 256000	602694			24020637			3		1.58			ENSG00000164258	ENSG00000164258	HGNC:7711													
NDUFS7	gene	NDUFS7	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 3, 618224	601825						3		1.58			ENSG00000115286	ENSG00000115286	HGNC:7714													
NDUFS8	gene	NDUFS8	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 2, 618222	602141						3		1.58			ENSG00000110717	ENSG00000110717	HGNC:7715													
NDUFV1	gene	NDUFV1	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, 252010	161015			10080174;26345448			3		1.58			ENSG00000167792	ENSG00000167792	HGNC:7716													
NGLY1	gene	NGLY1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of deglycosylation, 615273	610661						3		1.58			ENSG00000151092	ENSG00000151092	HGNC:17646													
NKX2-1	gene	NKX2-1	Expert Review Green;PanelApp;South West GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Choreoathetosis, hypothyroidism, and neonatal respiratory distress 610978;Chorea, hereditary benign 118700	600635			24555207			3		1.58			ENSG00000136352	ENSG00000136352	HGNC:11825													
NKX6-2	gene	NKX6-2	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy 617560	605955			15601927;28575651			3		1.58			ENSG00000148826	ENSG00000148826	HGNC:19321													
NPC1	gene	NPC1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Niemann-Pick disease, type C1, 257220;Niemann-Pick disease, type D, 257220	607623						3		1.58			ENSG00000141458	ENSG00000141458	HGNC:7897													
NPC2	gene	NPC2	South West GLH;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Niemann-pick disease, type C2, 607625	601015						3		1.58			ENSG00000119655	ENSG00000119655	HGNC:14537													
